epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,698.508,1.16199,1.6196,1.40278,0.35482,0.136,0.13968,0.04751,2.25884,5.41818,2.19434,0.000416189,0.000416189,0.000416189
2,2396.59,1.22102,1.46979,1.48356,0.09333,0.06843,0.04206,0.01704,2.32043,4.00713,2.15883,0.000799575,0.000799575,0.000799575
3,669.447,1.16242,1.34777,1.43932,0.32358,0.24307,0.20881,0.0934,2.13059,4.62256,2.02224,0.00114966,0.00114966,0.00114966
4,675.61,1.13494,1.27571,1.42662,0.37689,0.30111,0.25592,0.10049,2.19568,3.40794,2.01138,0.00110015,0.00110015,0.00110015
5,1702,1.06996,1.16377,1.37561,0.38723,0.36975,0.32823,0.14553,2.04615,2.75223,1.87106,0.0010502,0.0010502,0.0010502
6,721.492,1.00517,1.03668,1.31319,0.59521,0.32883,0.38915,0.16719,1.96302,2.47108,1.88898,0.00100025,0.00100025,0.00100025
7,1767.33,0.96581,0.9547,1.28468,0.60161,0.37561,0.43796,0.19868,1.91257,2.32007,1.76488,0.0009503,0.0009503,0.0009503
8,758.376,0.95216,0.91166,1.27254,0.62959,0.33085,0.42207,0.20177,1.89811,2.69643,1.85082,0.00090035,0.00090035,0.00090035
9,607.703,0.90285,0.82735,1.22776,0.66587,0.36793,0.45566,0.21381,1.91457,2.53297,1.819,0.0008504,0.0008504,0.0008504
10,715.146,0.82192,0.70856,1.16528,0.63888,0.41943,0.49476,0.24301,1.87832,2.49215,1.75669,0.00080045,0.00080045,0.00080045
11,1623.13,0.86772,0.75966,1.20116,0.67435,0.48942,0.52032,0.26,1.86161,2.17936,1.68389,0.0007505,0.0007505,0.0007505
12,2884.23,0.84614,0.72124,1.18237,0.6841,0.36637,0.39131,0.2041,1.75465,2.19241,1.64438,0.00070055,0.00070055,0.00070055
13,1034.6,0.75387,0.60368,1.11687,0.78135,0.43353,0.54193,0.26439,1.82233,2.32134,1.69838,0.0006506,0.0006506,0.0006506
14,2371.47,0.87197,0.73327,1.19939,0.68802,0.50084,0.58404,0.30804,1.68221,2.17776,1.55233,0.00060065,0.00060065,0.00060065
15,698.287,0.75924,0.6002,1.11563,0.74324,0.49064,0.58437,0.28414,1.77387,2.34226,1.62859,0.0005507,0.0005507,0.0005507
16,919.335,0.90503,0.72825,1.19452,0.7212,0.50907,0.57889,0.30975,1.67955,2.2541,1.61052,0.00050075,0.00050075,0.00050075
17,633.317,0.87881,0.69579,1.17512,0.78387,0.49366,0.62172,0.33691,1.64656,2.17242,1.51661,0.0004508,0.0004508,0.0004508
18,1628.69,0.85873,0.66749,1.1603,0.72072,0.56817,0.64436,0.35175,1.63262,2.24698,1.48603,0.00040085,0.00040085,0.00040085
